age,annual_income,employment_years,credit_history_years,loan_amount,loan_term_months,interest_rate,monthly_debt,debt_to_income,credit_utilization,late_payments_12m,recent_credit_inquiries,existing_loans,savings_balance,home_ownership,loan_purpose,employment_type,region,defaulted
34,41212.43,0.9,7.1,24293.98,36,20.21,1465.09,0.427,0.358,0,3,1,4722.1,rent,medical,self_employed,south,1
51,33090.23,12.3,25.3,9397.06,24,16.76,1385.44,0.502,0.761,0,0,2,8405.11,own,debt_consolidation,salaried,south,0
28,26285.25,6.8,18.4,5843.03,48,12.57,213.07,0.097,0.458,1,3,1,12026.12,mortgage,debt_consolidation,salaried,midwest,0
57,26025.47,9.7,31.5,5656.49,36,9.69,673.95,0.311,0.549,1,1,3,1246.38,mortgage,small_business,salaried,midwest,0
54,25612.06,0.0,35.5,14840.54,48,12.11,502.99,0.236,0.489,0,2,2,9733.29,rent,small_business,salaried,southeast,0
38,23875.45,12.4,21.4,12533.91,36,14.33,1044.67,0.525,0.813,0,2,0,5446.64,own,medical,salaried,south,0
24,90064.9,9.6,1.8,14768.65,24,15.24,3346.6,0.446,0.331,2,2,1,8775.97,rent,education,salaried,southeast,0
67,39142.13,6.3,40.0,7533.96,60,5.53,1343.17,0.412,0.457,2,2,2,2114.01,rent,medical,self_employed,north,0
42,50133.2,9.1,26.4,26035.35,36,13.58,2435.81,0.583,0.686,0,2,3,12761.98,rent,education,salaried,midwest,1
63,28129.88,3.4,36.8,13496.8,36,14.62,300.03,0.128,0.819,2,0,5,7194.11,rent,medical,salaried,southeast,0
53,31949.07,4.2,26.6,17641.62,36,16.8,1584.34,0.595,0.307,1,1,5,0.0,mortgage,education,self_employed,south,1
58,25598.97,4.6,34.8,5943.17,12,21.33,286.74,0.134,0.259,3,2,4,8406.51,rent,small_business,salaried,south,0
57,18000.0,0.0,37.9,10399.51,36,15.28,401.08,0.267,0.5,1,1,5,6176.32,mortgage,small_business,contract,north,1
30,19365.26,9.9,11.4,13744.32,36,10.68,678.35,0.42,0.178,1,2,0,9884.65,mortgage,medical,salaried,south,1
38,18000.0,11.3,10.4,8975.91,60,6.86,396.6,0.264,0.085,0,0,5,7813.3,mortgage,debt_consolidation,contract,southeast,0
43,18000.0,3.7,26.8,4384.11,60,17.39,672.85,0.449,0.346,3,0,3,318.25,mortgage,small_business,contract,midwest,1
44,20909.3,7.9,16.2,11460.65,48,10.85,869.0,0.499,0.683,0,1,2,5275.19,rent,home_improvement,salaried,southeast,1
23,60263.47,5.4,1.0,20257.05,24,18.14,2648.55,0.527,0.135,1,1,2,0.0,own,small_business,salaried,northeast,1
47,33905.65,7.8,24.4,5121.49,48,20.37,499.67,0.177,0.367,0,3,2,12418.39,rent,small_business,salaried,northeast,0
28,59399.24,4.0,12.7,18441.88,12,8.01,882.68,0.178,0.291,4,0,4,9731.36,mortgage,home_improvement,salaried,midwest,0
56,41052.73,3.0,33.7,28347.68,48,16.83,370.33,0.108,0.773,0,2,2,21166.6,own,education,salaried,northeast,0
53,47986.49,10.7,27.2,18187.73,36,19.93,1379.85,0.345,0.416,0,3,0,16893.51,mortgage,small_business,salaried,southeast,0
65,23661.94,6.2,40.0,15729.02,60,18.78,304.19,0.154,0.278,1,1,5,9404.03,rent,debt_consolidation,salaried,north,0
56,43047.5,14.6,30.8,18960.5,36,5.7,904.15,0.252,0.479,1,1,3,14068.37,rent,small_business,contract,north,0
38,46913.46,6.7,14.6,20909.15,24,10.91,2087.0,0.534,0.596,2,1,2,6538.22,own,debt_consolidation,salaried,south,1
67,27114.07,2.8,40.0,3342.79,60,9.12,1338.25,0.592,0.251,2,2,4,4448.5,own,education,self_employed,northeast,0
40,43695.79,11.4,13.2,22781.92,36,16.7,1907.76,0.524,0.079,2,2,2,3026.08,mortgage,medical,contract,northeast,1
36,43817.95,9.0,22.9,8234.39,48,16.24,293.4,0.08,0.336,2,1,3,22640.21,rent,debt_consolidation,salaried,northeast,0
64,27424.39,9.4,39.4,11562.44,60,5.5,883.83,0.387,0.784,1,1,0,13316.19,rent,debt_consolidation,salaried,southeast,0
38,21556.6,11.3,7.7,6122.07,36,13.24,305.38,0.17,0.804,2,1,1,3486.48,own,debt_consolidation,salaried,south,1
24,21008.16,3.9,1.0,7714.22,36,17.86,495.27,0.283,0.343,2,1,2,5749.84,rent,education,contract,southeast,1
43,35822.53,6.0,18.2,16419.57,36,15.12,928.63,0.311,0.47,4,0,4,3148.08,own,debt_consolidation,contract,midwest,1
59,39630.1,5.8,37.4,5116.74,48,15.11,1945.8,0.589,0.526,0,3,4,12892.24,rent,small_business,salaried,midwest,1
30,24763.82,1.3,9.9,7411.51,60,12.97,871.31,0.422,0.268,0,0,4,13258.45,mortgage,home_improvement,contract,southeast,0
43,34932.25,5.4,21.4,25970.58,24,10.05,653.62,0.225,0.288,1,4,2,0.0,rent,education,salaried,midwest,0
27,43898.07,11.8,1.6,6855.19,48,14.43,1562.44,0.427,0.465,2,2,2,8921.0,rent,small_business,salaried,southeast,1
53,44785.52,7.4,33.6,14385.91,24,14.72,2216.91,0.594,0.591,1,0,3,20868.51,rent,small_business,salaried,southeast,1
43,66289.69,1.1,16.6,21378.13,36,17.08,618.41,0.112,0.455,0,3,1,13170.93,own,home_improvement,self_employed,southeast,0
36,59061.35,0.3,3.4,21203.8,48,17.43,2562.44,0.521,0.773,1,1,3,3528.72,mortgage,education,salaried,south,0
31,22684.96,13.2,8.3,12508.76,48,14.86,372.65,0.197,0.516,0,2,3,5032.86,mortgage,home_improvement,self_employed,midwest,0
48,70059.92,6.1,31.0,19342.05,36,19.1,949.77,0.163,0.255,3,0,5,33142.66,own,home_improvement,salaried,southeast,0
53,27639.19,3.9,36.1,11331.23,36,12.93,1302.24,0.565,0.22,0,2,2,16378.77,rent,debt_consolidation,salaried,north,1
66,53575.47,5.4,39.5,28194.84,24,8.44,361.63,0.081,0.631,0,3,0,28518.03,own,debt_consolidation,contract,south,0
41,35544.99,0.6,18.3,11483.27,12,16.5,1422.35,0.48,0.637,0,2,2,13778.65,rent,home_improvement,salaried,southeast,1
28,29053.59,12.2,1.1,20852.54,36,15.03,307.73,0.127,0.203,1,5,4,10850.0,rent,small_business,salaried,south,0
60,18000.0,4.9,39.4,13269.49,48,16.59,620.58,0.414,0.622,1,0,2,6527.05,mortgage,small_business,self_employed,northeast,1
51,32142.77,12.0,24.3,6280.52,36,9.19,1112.37,0.415,0.586,1,2,2,10350.16,own,medical,salaried,south,1
54,18000.0,6.7,31.7,6058.92,24,22.02,818.85,0.546,0.507,0,2,2,497.35,mortgage,debt_consolidation,salaried,south,1
25,51858.06,12.2,5.3,13017.54,48,17.48,2265.37,0.524,0.784,0,0,1,7873.22,rent,small_business,salaried,southeast,0
35,65319.96,7.5,13.8,15525.08,24,13.29,2449.44,0.45,0.768,3,0,4,18213.81,own,education,contract,northeast,1
57,24718.26,9.9,39.4,10611.98,24,10.57,588.08,0.285,0.288,2,1,4,14888.3,mortgage,debt_consolidation,salaried,south,0
60,39215.51,9.4,28.0,18635.65,60,19.02,555.09,0.17,0.573,4,5,5,16593.88,mortgage,small_business,salaried,north,1
41,25472.01,9.0,18.4,9887.24,12,9.87,898.46,0.423,0.848,0,0,0,15397.97,mortgage,home_improvement,self_employed,south,1
59,26530.13,7.9,33.1,7739.09,36,24.0,770.18,0.348,0.619,0,1,4,4365.47,rent,home_improvement,salaried,southeast,1
61,47824.23,5.6,40.0,14133.57,36,11.92,486.57,0.122,0.594,0,0,0,851.56,rent,debt_consolidation,salaried,north,0
39,33989.74,14.2,20.7,25323.74,24,21.73,1688.17,0.596,0.708,0,0,0,14860.23,mortgage,debt_consolidation,salaried,southeast,1
64,71729.13,2.9,40.0,50347.88,24,13.73,1493.08,0.25,0.091,1,1,5,3652.46,rent,debt_consolidation,contract,southeast,0
34,28210.86,6.5,6.0,4734.24,24,21.14,190.79,0.081,0.471,2,2,2,9822.48,mortgage,medical,salaried,midwest,1
32,52560.56,6.6,11.3,28047.73,24,11.41,2483.1,0.567,0.514,0,0,1,0.0,mortgage,debt_consolidation,salaried,southeast,0
53,35987.02,8.1,33.9,14676.69,48,14.58,1174.4,0.392,0.519,0,1,1,18021.56,mortgage,debt_consolidation,salaried,south,0
51,48253.65,4.8,27.3,26730.25,36,17.88,1913.47,0.476,0.392,2,2,0,0.0,own,small_business,salaried,south,1
27,28629.52,7.8,1.8,14202.68,36,17.28,387.55,0.162,0.502,1,2,3,13904.29,rent,medical,salaried,midwest,1
60,33832.78,5.8,29.6,23014.04,36,19.12,841.55,0.298,0.441,2,0,3,0.0,mortgage,debt_consolidation,salaried,northeast,0
30,32908.64,0.2,5.4,5337.87,60,12.45,1174.65,0.428,0.715,1,1,3,3385.19,rent,education,salaried,midwest,1
59,24315.18,6.5,33.1,8273.16,12,14.86,436.7,0.216,0.072,1,1,0,14108.34,rent,debt_consolidation,salaried,north,0
21,45618.76,2.1,1.0,33797.17,48,19.74,1744.19,0.459,0.163,2,0,5,6530.5,rent,debt_consolidation,salaried,midwest,1
59,45392.61,0.0,40.0,10659.99,24,11.54,779.81,0.206,0.35,1,2,0,7451.58,rent,medical,salaried,southeast,0
58,44324.51,7.0,39.3,8874.66,60,16.9,712.62,0.193,0.236,1,3,2,18691.53,mortgage,education,salaried,midwest,0
58,65875.74,8.5,39.9,38158.68,24,13.58,473.63,0.086,0.419,1,2,3,4084.55,rent,small_business,self_employed,midwest,1
52,63495.53,8.6,35.0,38718.57,12,15.36,1228.8,0.232,0.552,2,0,0,1056.06,own,debt_consolidation,salaried,south,0
43,29511.14,8.8,16.4,16040.26,36,14.86,524.41,0.213,0.618,1,0,3,0.0,rent,small_business,salaried,northeast,1
54,40403.92,0.0,29.7,24606.12,24,11.19,1659.09,0.493,0.808,0,2,3,14940.19,rent,debt_consolidation,salaried,south,1
34,26584.61,1.1,10.6,14808.81,48,13.41,858.78,0.388,0.306,1,0,3,2577.44,mortgage,home_improvement,salaried,southeast,0
58,34884.9,14.4,40.0,7170.09,36,15.11,511.72,0.176,0.398,0,0,2,19689.8,rent,education,contract,midwest,0
47,26852.26,2.3,14.8,13511.51,36,14.07,865.51,0.387,0.587,0,1,5,13122.22,mortgage,small_business,self_employed,south,1
43,68215.67,8.9,24.0,41572.83,24,21.11,1146.82,0.202,0.319,2,1,1,14204.63,mortgage,small_business,salaried,south,0
45,40245.49,3.8,12.8,26774.34,48,18.74,1038.91,0.31,0.611,4,2,4,15037.28,mortgage,debt_consolidation,salaried,south,0
48,31521.58,6.8,31.5,8672.48,24,15.72,1470.04,0.56,0.662,0,3,2,11958.67,rent,education,salaried,northeast,1
22,57029.26,4.0,2.7,11421.9,60,11.29,2226.03,0.468,0.673,3,1,2,26451.67,rent,medical,salaried,midwest,1
27,18000.0,8.7,13.9,11017.57,48,11.04,647.39,0.432,0.379,1,4,1,4736.93,own,medical,salaried,north,0
32,18000.0,7.0,7.4,5069.26,36,22.79,348.0,0.232,0.471,0,2,4,6804.26,own,debt_consolidation,salaried,northeast,0
26,48254.88,4.7,8.0,6761.26,48,10.26,592.22,0.147,0.542,2,2,1,4171.85,mortgage,debt_consolidation,salaried,north,0
42,35432.92,2.3,23.8,22672.98,36,14.98,1436.78,0.487,0.247,2,1,2,5672.79,rent,home_improvement,salaried,southeast,1
53,38376.0,7.6,36.2,16838.41,36,16.02,1236.54,0.387,0.284,0,2,2,1848.88,mortgage,small_business,salaried,southeast,0
52,19789.64,1.6,25.5,6447.05,24,13.19,686.52,0.416,0.701,0,0,0,12662.94,mortgage,medical,salaried,midwest,1
43,34208.92,8.2,16.8,4351.39,36,10.29,1729.15,0.607,0.57,1,1,4,9140.78,rent,home_improvement,salaried,northeast,1
62,80135.48,17.0,30.8,11399.78,36,11.2,1790.32,0.268,0.397,1,1,1,32120.66,own,home_improvement,salaried,north,0
48,48833.11,11.9,28.1,30244.92,12,12.2,2085.19,0.512,0.839,1,2,5,10282.25,own,debt_consolidation,salaried,northeast,1
24,37096.46,9.4,1.0,15896.38,48,11.52,1180.4,0.382,0.721,1,4,3,0.0,rent,medical,salaried,southeast,1
57,28727.13,6.2,39.8,6156.94,12,20.08,495.64,0.207,0.355,1,2,1,750.17,rent,debt_consolidation,salaried,northeast,0
48,29268.86,0.0,26.5,10122.89,36,14.46,264.78,0.109,0.134,0,2,3,2351.12,rent,medical,contract,southeast,0
51,18000.0,1.2,30.3,4034.56,24,12.3,618.97,0.413,0.656,2,2,2,7510.07,mortgage,medical,salaried,south,0
48,38492.13,11.6,22.9,7356.44,36,14.95,772.13,0.241,0.188,1,1,2,17428.01,mortgage,debt_consolidation,salaried,northeast,0
47,49271.59,3.3,19.4,14489.49,48,17.31,1870.51,0.456,0.749,0,0,5,5436.23,mortgage,education,salaried,northeast,0
25,18000.0,3.7,1.0,8391.43,12,13.05,687.59,0.458,0.39,3,1,3,4697.02,mortgage,debt_consolidation,salaried,south,1
47,26165.71,5.8,27.8,6601.72,36,18.29,710.72,0.326,0.758,1,1,5,6536.29,rent,debt_consolidation,self_employed,midwest,1
59,21244.75,2.3,31.5,7149.13,36,9.16,654.43,0.37,0.455,2,2,5,7629.07,rent,home_improvement,salaried,north,0
35,23029.99,1.6,12.2,9697.85,48,19.42,802.85,0.418,0.308,1,0,5,3564.87,rent,medical,salaried,southeast,1
49,35329.1,6.3,27.5,13588.23,24,14.46,980.52,0.333,0.158,1,1,2,19610.61,mortgage,home_improvement,salaried,southeast,0
22,18000.0,2.9,2.2,3618.64,48,14.3,830.67,0.554,0.224,0,3,2,5051.36,own,debt_consolidation,salaried,southeast,0
37,44711.84,3.5,16.5,6460.21,36,11.59,450.86,0.121,0.207,0,2,5,13270.37,rent,small_business,salaried,south,0
41,47411.45,3.4,10.2,6748.5,36,9.34,2406.53,0.609,0.501,1,2,5,21447.6,own,home_improvement,contract,southeast,0
68,31086.75,8.6,40.0,10588.54,36,7.5,254.04,0.098,0.634,3,1,2,15930.82,rent,debt_consolidation,salaried,south,0
31,18000.0,5.6,7.2,10311.22,36,11.3,288.56,0.192,0.27,1,0,4,2394.01,mortgage,debt_consolidation,contract,southeast,0
34,22731.44,5.8,12.2,4607.45,36,16.97,876.08,0.462,0.418,1,2,3,1738.48,rent,debt_consolidation,salaried,southeast,1
40,57977.99,8.9,6.0,35702.7,12,10.46,608.18,0.126,0.289,0,3,0,0.0,rent,small_business,salaried,south,1
68,18000.0,5.9,39.1,10275.75,36,8.0,332.36,0.222,0.42,2,1,0,1008.13,mortgage,small_business,salaried,north,1
61,29852.99,5.4,40.0,3656.53,36,10.68,405.87,0.163,0.456,2,1,0,15113.36,mortgage,education,contract,southeast,0
22,21044.61,8.4,1.0,2879.98,36,12.88,825.52,0.471,0.264,0,1,1,8919.15,rent,debt_consolidation,salaried,southeast,1
32,48432.17,9.2,10.0,11762.77,24,13.05,1584.64,0.393,0.174,2,0,5,8381.33,rent,education,salaried,southeast,0
60,26015.61,5.9,36.3,4041.69,36,13.96,248.92,0.115,0.316,1,1,1,4.2,mortgage,home_improvement,salaried,north,0
23,40931.72,6.8,3.2,18613.54,36,18.84,1120.41,0.328,0.133,1,1,5,14382.75,mortgage,debt_consolidation,salaried,south,0
62,43804.57,3.4,37.0,6350.14,36,19.75,703.03,0.193,0.276,1,0,2,17246.65,rent,medical,salaried,midwest,0
34,74698.47,3.1,4.5,46736.36,60,22.92,3750.84,0.603,0.531,5,3,2,29955.57,rent,education,salaried,southeast,1
65,31721.96,9.6,40.0,13658.4,36,7.68,365.53,0.138,0.204,0,1,1,14591.32,mortgage,small_business,self_employed,southeast,0
35,40454.72,8.3,17.1,23407.56,36,10.91,1358.44,0.403,0.642,1,2,3,1777.25,rent,debt_consolidation,salaried,south,1
41,18513.89,8.3,20.2,10977.68,12,17.43,524.87,0.34,0.685,0,3,3,7250.85,rent,debt_consolidation,salaried,northeast,1
52,56952.55,7.6,31.0,25017.05,60,12.59,1861.24,0.392,0.467,1,1,1,18750.88,rent,small_business,salaried,midwest,1
27,25099.08,6.7,1.0,17644.11,24,18.12,1247.65,0.597,0.305,1,1,4,9690.14,mortgage,medical,salaried,southeast,1
47,27295.67,9.3,19.5,20303.93,36,15.37,601.17,0.264,0.76,1,1,4,2856.0,own,small_business,salaried,north,0
45,34223.09,10.2,17.8,11851.64,24,21.13,1381.28,0.484,0.89,0,2,4,18578.89,mortgage,debt_consolidation,salaried,south,0
58,18000.0,10.1,36.2,3587.3,12,18.88,482.45,0.322,0.227,1,1,2,1975.27,mortgage,small_business,contract,south,0
68,38028.21,6.1,40.0,13265.76,48,18.96,1384.26,0.437,0.394,0,1,3,1411.31,mortgage,home_improvement,salaried,north,0
52,51861.7,12.0,35.5,13521.02,24,12.77,1199.11,0.277,0.329,3,1,2,8828.33,rent,debt_consolidation,contract,south,0
40,39066.95,7.4,13.5,17757.24,24,14.09,659.73,0.203,0.309,0,1,5,18811.46,own,education,contract,midwest,1
40,18000.0,9.0,14.8,6450.92,24,13.22,187.73,0.125,0.843,3,3,2,7184.85,rent,small_business,salaried,northeast,1
41,32793.98,7.6,12.2,13861.46,60,8.18,368.78,0.135,0.648,2,1,1,2121.3,own,education,salaried,southeast,0
60,47176.55,7.5,37.9,28344.05,48,20.68,2351.33,0.598,0.41,2,2,2,5262.63,rent,debt_consolidation,self_employed,southeast,0
36,18000.0,3.6,13.6,5267.4,60,17.63,758.65,0.506,0.259,2,1,5,0.0,mortgage,debt_consolidation,contract,north,0
29,21995.61,9.3,5.2,10087.39,48,13.05,389.1,0.212,0.759,0,1,5,9825.68,own,home_improvement,salaried,north,0
37,49918.57,17.9,10.0,16530.61,60,19.98,1521.43,0.366,0.488,1,1,2,14970.79,own,small_business,contract,north,0
22,38694.01,5.0,5.6,23778.45,36,11.85,1501.6,0.466,0.223,0,0,5,16298.63,own,small_business,salaried,northeast,1
26,41069.79,6.8,1.0,21475.72,24,6.78,925.34,0.27,0.642,2,3,1,18910.78,own,education,salaried,northeast,1
25,75432.07,4.7,2.1,9456.01,24,18.73,1996.39,0.318,0.929,0,1,1,43282.52,mortgage,small_business,contract,southeast,1
58,42057.46,4.5,39.8,22535.75,24,9.13,1639.98,0.468,0.022,0,4,1,11349.84,rent,small_business,salaried,northeast,0
55,45538.48,12.7,40.0,10346.44,48,13.68,769.7,0.203,0.238,0,4,1,24992.16,mortgage,debt_consolidation,self_employed,south,0
54,107851.78,3.8,31.6,62167.76,12,15.37,3273.53,0.364,0.706,0,2,1,25525.12,rent,home_improvement,salaried,south,0
43,31577.56,4.6,13.5,15075.87,12,16.12,509.05,0.193,0.484,0,4,1,10749.82,mortgage,small_business,salaried,northeast,0
55,24708.17,0.2,24.5,9214.52,36,18.06,168.14,0.082,0.298,1,0,2,8005.81,rent,home_improvement,contract,southeast,0
28,41343.67,3.5,3.4,23039.25,12,16.94,1559.84,0.453,0.718,1,0,0,21110.53,own,debt_consolidation,salaried,south,1
64,41538.51,0.0,32.2,27401.03,12,16.81,1598.97,0.462,0.393,1,4,2,9607.76,mortgage,medical,self_employed,midwest,0
45,27688.7,9.0,22.2,16906.95,12,11.18,1425.25,0.618,0.399,0,2,3,7640.59,rent,debt_consolidation,contract,midwest,1
66,22390.53,17.7,38.7,10380.0,36,15.74,331.66,0.178,0.779,1,1,2,7746.07,mortgage,medical,self_employed,south,0
28,91138.41,5.0,7.0,52431.69,12,8.18,3640.78,0.479,0.296,1,0,2,62334.68,mortgage,education,contract,south,1
44,39627.33,0.0,23.3,15088.75,12,21.06,1954.63,0.592,0.522,1,1,1,0.0,own,small_business,contract,northeast,0
54,25398.37,10.1,34.0,15672.99,24,8.61,906.03,0.428,0.174,0,1,0,9092.63,rent,debt_consolidation,salaried,southeast,0
44,50751.21,3.6,30.3,32597.64,48,13.04,2537.97,0.6,0.223,0,1,5,5683.3,mortgage,small_business,salaried,southeast,1
42,32996.57,11.7,13.2,6813.63,24,8.96,1696.57,0.617,0.442,2,3,5,19742.99,rent,debt_consolidation,salaried,midwest,0
28,31063.53,5.4,7.9,8385.9,12,11.43,1327.65,0.513,0.676,0,0,2,16081.63,own,medical,self_employed,southeast,0
39,43745.96,4.0,19.6,12690.39,60,14.56,2258.8,0.62,0.852,2,1,4,19287.52,own,debt_consolidation,self_employed,south,1
32,20078.59,5.8,14.3,4510.28,48,12.28,699.31,0.418,0.46,2,1,0,5730.76,rent,home_improvement,salaried,south,1
35,40058.79,9.5,12.9,14713.48,24,19.31,1163.07,0.348,0.295,2,2,1,18437.96,rent,small_business,self_employed,north,1
53,77144.92,5.6,22.1,18639.06,24,15.45,3699.89,0.576,0.577,0,4,3,29696.68,rent,debt_consolidation,salaried,northeast,0
51,42015.53,4.5,18.6,20805.66,24,12.56,1851.19,0.529,0.112,0,2,4,8287.84,rent,small_business,salaried,midwest,1
50,29495.44,5.7,34.5,5427.68,48,13.94,342.79,0.139,0.881,0,3,4,16245.42,rent,education,salaried,northeast,0
38,27917.69,1.4,16.6,8097.5,24,19.62,566.43,0.243,0.437,3,2,2,9969.21,mortgage,debt_consolidation,salaried,southeast,0
67,29075.68,8.1,40.0,15679.87,60,18.32,534.87,0.221,0.096,1,3,5,5527.61,mortgage,debt_consolidation,self_employed,south,0
25,31049.43,0.0,1.0,11521.93,48,9.72,1401.99,0.542,0.309,1,0,3,13460.59,mortgage,home_improvement,salaried,southeast,1
37,29475.69,4.7,12.7,11363.51,36,11.64,505.88,0.206,0.326,0,2,1,0.0,mortgage,small_business,self_employed,northeast,0
26,50759.33,9.5,5.9,31607.48,12,16.49,1032.89,0.244,0.58,2,2,2,25749.27,mortgage,home_improvement,self_employed,southeast,0
37,18000.0,7.7,13.7,13324.36,48,15.98,540.22,0.36,0.685,1,0,1,5819.05,rent,debt_consolidation,contract,north,1
67,49614.58,8.9,40.0,23616.18,48,10.09,500.71,0.121,0.727,3,2,0,17572.73,mortgage,home_improvement,self_employed,southeast,0
38,29452.43,6.2,7.7,5001.39,48,17.65,1470.32,0.599,0.479,1,1,0,2866.22,mortgage,debt_consolidation,contract,southeast,0
64,40470.07,11.2,38.5,7480.04,12,10.76,1164.1,0.345,0.291,2,1,2,20302.36,rent,debt_consolidation,salaried,south,0
44,21518.43,10.2,18.0,15711.8,48,19.98,327.86,0.183,0.225,1,3,0,6093.52,rent,home_improvement,salaried,southeast,0
54,60356.57,8.3,40.0,33070.45,48,16.72,1137.94,0.226,0.526,1,0,5,23837.52,mortgage,home_improvement,salaried,southeast,1
