customer_id,age,annual_income,purchase_frequency_monthly,average_ticket,digital_engagement_score,return_rate_pct,support_tickets_quarter,loyalty_months,discount_sensitivity_score,web_visits_monthly,app_sessions_weekly,tenure_months,segment_label
C0135,53.0,113602.08,7.25,316.48,99.08,4.22,0.67,47.6,19.91,15.16,10.5,46.9,premium_repeaters
C0136,30.1,45462.92,3.59,90.27,44.32,6.56,1.44,22.9,81.13,8.53,4.98,22.8,value_seekers
C0137,29.4,96404.94,4.52,232.93,68.21,4.38,1.48,24.1,36.18,13.2,3.52,26.6,high_potential
C0138,23.4,75340.0,4.55,157.8,64.36,4.24,0.88,34.1,49.18,10.7,7.03,39.2,loyal_midmarket
C0139,21.4,90266.78,7.95,377.18,69.75,3.51,0.84,64.1,43.4,8.13,7.71,72.0,premium_repeaters
C0140,36.3,50734.48,2.5,102.33,43.71,9.39,1.98,21.2,82.6,7.41,5.0,27.6,value_seekers
C0141,51.7,64024.96,4.95,160.13,61.79,6.42,1.79,32.4,66.88,7.18,7.82,35.4,loyal_midmarket
C0142,27.1,71267.79,6.35,168.11,59.1,2.36,1.58,26.2,81.54,9.46,7.51,23.1,loyal_midmarket
C0143,24.8,88968.84,5.43,136.26,67.9,3.08,0.05,18.8,23.57,8.04,6.73,18.7,high_potential
C0144,34.0,75666.96,7.27,206.33,79.41,5.0,1.38,39.1,55.27,9.71,7.81,39.8,loyal_midmarket
C0145,32.4,70871.82,5.4,156.82,55.9,6.76,1.25,25.4,61.28,10.03,4.33,21.7,loyal_midmarket
C0146,38.0,38319.91,3.54,118.56,45.24,5.0,2.24,11.1,97.1,7.18,6.84,4.1,value_seekers
C0147,31.2,90911.04,8.4,144.31,77.12,3.7,1.33,21.3,48.2,12.62,7.4,26.9,loyal_midmarket
C0148,20.3,55794.94,5.83,153.89,76.7,7.12,1.83,26.4,29.34,10.15,5.92,34.1,loyal_midmarket
C0149,45.3,91711.92,7.72,180.86,65.07,4.76,1.34,50.0,57.8,6.96,6.97,56.7,loyal_midmarket
C0150,25.3,39348.88,0.98,36.8,32.78,9.33,1.89,15.1,97.61,5.29,1.95,17.0,value_seekers
C0151,37.7,88424.9,3.04,266.4,67.87,8.05,0.98,25.2,45.47,9.93,6.61,24.9,high_potential
C0152,24.8,76236.12,4.66,185.6,94.7,4.66,1.77,16.6,48.59,13.95,10.83,16.8,high_potential
C0153,25.9,43997.84,4.88,106.02,64.53,7.85,3.71,11.1,75.87,10.86,5.4,22.4,value_seekers
C0154,35.3,86988.27,7.03,248.81,52.52,4.52,0.92,14.3,63.54,12.22,4.28,19.2,loyal_midmarket
C0155,25.7,38209.62,3.62,114.68,38.2,6.42,2.65,16.3,65.64,6.26,2.41,24.3,value_seekers
C0156,25.7,114932.63,7.52,380.47,67.13,2.41,1.04,40.8,32.57,11.77,6.78,44.2,premium_repeaters
C0157,40.0,73669.34,6.08,150.78,67.28,7.27,1.13,25.1,49.57,10.58,6.85,25.6,loyal_midmarket
C0158,33.6,134001.7,9.64,394.77,70.53,2.33,0.86,36.6,18.89,8.73,5.97,36.7,premium_repeaters
C0159,58.8,139212.12,7.8,475.95,79.36,3.12,0.9,45.1,31.48,13.06,7.51,43.7,premium_repeaters
C0160,33.3,89720.24,8.66,409.72,71.14,3.49,0.04,26.9,36.38,10.62,5.74,24.5,premium_repeaters
C0161,47.4,37762.61,4.24,60.96,34.14,8.39,2.58,21.4,76.68,8.53,1.52,20.3,value_seekers
C0162,37.3,107927.18,4.08,290.53,79.32,3.17,0.74,23.5,56.53,12.85,7.4,25.6,high_potential
C0163,31.3,30358.46,2.69,95.88,59.59,12.04,2.42,15.7,87.99,6.86,3.67,17.1,value_seekers
C0164,30.7,45001.94,3.69,107.19,51.55,8.61,2.25,13.7,85.3,8.7,3.75,17.2,value_seekers
C0165,36.1,72621.99,5.45,161.57,56.75,7.28,1.84,39.4,71.75,7.65,5.52,53.5,loyal_midmarket
C0166,42.2,67226.67,6.65,209.25,66.86,8.2,1.34,36.7,45.82,8.34,4.99,38.2,loyal_midmarket
C0167,31.6,128076.45,4.51,151.72,67.72,4.72,1.27,21.9,52.77,7.92,5.29,25.2,high_potential
C0168,46.6,74234.37,3.49,252.57,80.2,6.36,1.02,23.4,28.39,12.71,7.82,26.1,high_potential
C0169,34.4,60155.34,4.4,155.08,73.65,6.24,0.38,24.2,47.49,7.68,5.54,20.7,loyal_midmarket
C0170,32.3,89293.81,3.5,205.37,83.53,2.72,0.9,25.2,41.82,11.32,9.14,31.8,high_potential
C0171,45.0,77147.58,5.79,196.79,71.2,6.84,0.87,34.4,53.45,12.21,7.13,32.3,loyal_midmarket
C0172,40.6,56196.9,7.65,258.19,78.02,7.57,1.25,17.4,37.4,9.32,7.0,17.0,loyal_midmarket
C0173,49.0,47540.27,2.05,78.78,63.12,5.31,2.5,11.1,86.37,10.84,4.13,16.1,value_seekers
C0174,46.7,104704.9,3.86,220.38,76.32,5.58,1.17,12.1,32.5,13.2,6.88,14.8,high_potential
C0175,39.1,29353.52,4.47,80.74,49.1,6.38,3.12,8.7,79.3,7.68,6.72,6.4,value_seekers
C0176,36.2,37585.84,3.9,21.26,44.53,7.22,1.15,20.5,79.39,2.53,2.46,21.0,value_seekers
C0177,30.6,83533.12,3.67,153.18,64.0,8.14,1.66,28.4,65.74,6.43,7.32,34.5,loyal_midmarket
C0178,42.4,81908.0,3.67,201.31,76.5,4.01,1.28,13.9,52.2,10.05,7.17,15.7,high_potential
C0179,27.9,96253.81,7.07,247.58,82.78,9.74,1.26,21.4,53.04,10.81,8.43,21.6,high_potential
C0180,21.9,114864.86,7.71,399.81,84.91,3.29,0.57,55.6,34.19,12.46,8.81,56.4,premium_repeaters
C0181,20.0,101651.52,5.11,233.41,74.58,3.72,0.87,18.1,45.65,10.77,6.39,18.5,high_potential
C0182,23.3,84297.64,5.34,166.84,59.35,4.24,1.38,29.8,53.82,8.99,5.64,30.9,high_potential
C0183,31.8,78471.65,5.1,182.27,72.2,6.49,0.72,30.5,29.67,8.28,6.8,30.5,loyal_midmarket
C0184,41.0,71328.65,3.49,187.54,58.72,5.87,0.43,34.3,51.45,7.88,3.19,36.8,loyal_midmarket
C0185,40.3,91410.26,6.62,339.54,73.13,4.31,0.76,30.4,25.78,14.2,5.71,33.7,premium_repeaters
C0186,30.0,116677.38,8.14,338.71,74.0,1.49,0.64,29.1,14.19,11.74,7.57,26.9,premium_repeaters
C0187,22.8,61153.45,5.89,114.96,63.06,5.72,1.69,26.9,63.47,10.43,8.07,23.9,loyal_midmarket
C0188,39.2,46440.89,3.46,35.12,20.73,8.32,1.51,7.4,82.52,3.23,3.6,13.1,value_seekers
C0189,56.8,118143.89,7.33,398.54,70.17,7.16,1.09,46.6,32.2,6.81,8.34,51.7,premium_repeaters
C0190,57.8,38931.93,3.61,58.02,51.31,6.37,1.88,12.3,97.4,7.46,4.14,14.5,value_seekers
C0191,57.4,104590.09,4.44,193.15,82.81,3.94,0.98,6.9,53.04,14.75,6.34,11.8,high_potential
C0192,42.9,44126.92,2.56,84.31,54.27,8.25,0.67,6.1,70.95,10.48,2.28,16.4,value_seekers
C0193,20.0,54789.68,4.44,51.37,41.36,10.74,2.24,6.1,86.89,8.18,3.79,7.3,value_seekers
C0194,38.9,80515.94,5.78,248.99,85.79,6.2,1.54,23.1,48.66,9.83,6.46,24.2,high_potential
C0195,35.6,39461.87,3.74,126.02,44.5,10.51,2.66,12.6,86.76,7.63,2.38,19.9,value_seekers
C0196,31.7,43453.72,5.15,85.47,50.37,9.36,0.97,17.1,70.85,7.91,4.15,23.4,value_seekers
C0197,28.8,126036.3,7.41,340.69,83.25,2.55,0.92,38.3,15.32,12.66,5.72,46.5,premium_repeaters
C0198,47.4,64894.68,4.68,272.45,72.32,6.89,1.18,21.3,32.64,12.06,5.43,22.0,high_potential
C0199,30.4,43593.44,3.85,86.15,49.85,7.33,1.28,23.6,90.39,5.64,2.87,27.9,value_seekers
C0200,45.2,84405.71,4.16,212.44,65.47,4.62,1.45,39.8,46.56,6.84,5.71,42.3,loyal_midmarket
C0201,41.6,142863.02,10.01,379.45,68.48,4.14,1.33,50.7,34.28,8.57,3.57,52.4,premium_repeaters
C0202,41.1,93094.63,5.0,232.3,61.96,5.83,2.03,18.5,45.38,6.8,5.92,28.7,high_potential
C0203,33.7,62404.11,5.54,178.26,81.47,8.24,1.47,30.2,76.43,8.09,9.36,29.9,loyal_midmarket
C0204,45.9,50714.21,5.92,55.26,62.5,8.18,2.44,4.1,93.74,10.22,4.61,6.0,value_seekers
C0205,41.3,36785.04,3.04,43.68,55.34,10.98,1.24,16.1,79.88,6.14,6.5,15.6,value_seekers
C0206,31.5,41425.16,5.52,91.16,33.89,11.07,2.3,18.4,91.52,4.5,1.27,19.9,value_seekers
C0207,35.3,39627.69,4.84,95.93,28.85,4.11,3.13,13.5,76.82,6.97,2.07,9.5,value_seekers
C0208,35.7,142613.23,7.58,418.62,80.05,4.61,1.26,49.5,30.78,9.62,7.28,59.1,premium_repeaters
C0209,20.7,42133.97,3.9,79.26,48.78,7.58,0.53,14.1,73.2,7.94,5.17,16.6,value_seekers
C0210,31.7,78806.05,3.88,132.36,87.74,3.12,1.57,27.1,54.72,12.81,7.35,31.4,loyal_midmarket
C0211,20.0,99096.9,7.9,273.3,81.42,6.91,1.58,50.6,27.32,14.2,6.3,47.3,premium_repeaters
C0212,43.2,105413.46,7.25,281.59,68.19,3.43,0.45,33.1,21.75,9.38,7.03,34.2,premium_repeaters
C0213,45.7,40721.64,3.22,101.76,53.02,7.63,1.86,9.3,75.11,8.48,5.21,13.1,value_seekers
C0214,40.8,88693.05,5.57,247.4,82.2,4.64,1.69,19.6,52.32,10.27,8.45,22.6,high_potential
C0215,22.1,169215.3,6.94,343.9,74.43,2.87,1.67,33.9,24.21,7.22,7.65,32.9,premium_repeaters
C0216,36.2,168394.55,6.95,248.33,85.2,2.55,1.55,38.6,22.95,11.72,7.05,43.6,premium_repeaters
C0217,37.3,40210.52,2.23,99.93,23.56,6.89,2.41,15.8,86.72,5.22,2.77,22.5,value_seekers
C0218,28.9,50347.91,4.25,79.01,28.87,9.05,2.24,20.5,74.51,3.98,1.0,24.4,value_seekers
C0219,55.8,93626.62,2.76,172.19,86.17,7.72,0.39,15.7,46.43,11.36,10.0,15.7,high_potential
C0220,34.8,67502.53,7.07,128.3,66.29,2.01,0.57,42.4,53.55,9.03,6.45,41.4,loyal_midmarket
C0221,32.7,83794.99,3.05,150.89,69.59,4.82,1.44,36.7,51.26,12.24,5.3,37.7,loyal_midmarket
C0222,34.7,71246.32,6.42,234.61,65.0,6.73,1.94,33.4,52.1,10.99,6.23,34.3,loyal_midmarket
C0223,43.8,122235.21,5.81,286.79,95.15,3.27,0.51,59.2,30.25,12.96,8.41,60.6,premium_repeaters
C0224,46.7,67258.93,4.7,221.84,90.65,4.94,0.0,17.3,73.4,14.13,7.2,16.1,high_potential
C0225,25.9,55754.31,5.78,183.2,49.28,2.93,1.21,29.9,57.55,4.67,6.78,34.8,loyal_midmarket
C0226,33.1,62263.63,3.6,226.69,88.98,5.3,1.28,18.1,35.74,10.15,8.65,15.3,high_potential
C0227,30.4,31891.4,3.82,57.45,48.56,6.78,2.93,15.9,91.89,4.97,3.84,18.2,value_seekers
C0228,24.3,68854.75,5.33,137.46,53.86,0.79,0.57,40.3,39.61,6.42,5.35,49.4,loyal_midmarket
